Designator,Mid X,Mid Y,Rotation,Layer
D1,33.5,-57.333359,270.0,top
D10,87.5,-57.333359,270.0,top
D11,107.5,-66.500027,270.0,top
D12,125.5,-69.333361,270.0,top
D13,33.5,-91.333367,270.0,top
D14,51.5,-88.500033,270.0,top
D15,69.5,-77.166697,270.0,top
D16,87.5,-74.333363,270.0,top
D17,107.5,-83.500031,270.0,top
D18,125.5,-86.333365,270.0,top
D19,121.4,-107.733355,255.0,top
D2,51.5,-54.500025,270.0,top
D20,135.0,-102.733355,330.0,top
D21,131.6,-124.533355,315.0,top
D22,102.0,-101.583368,270.0,top
D23,149.515686,-124.844942,315.0,top
D24,129.392346,-109.071135,60.0,top
D25,113.708235,-104.108787,345.0,top
D26,117.13,-84.473343,0.0,top
D27,99.13,-81.64,0.0,top
D28,81.13,-75.973343,0.0,top
D29,63.13,-78.806666,0.0,top
D3,69.5,-43.166689,270.0,top
D30,45.13,-90.14,0.0,top
D31,27.13,-92.998355,0.0,top
D32,26.87,-75.693343,180.0,top
D33,44.87,-72.86,180.0,top
D34,62.87,-61.526666,180.0,top
D35,80.87,-58.693343,180.0,top
D36,98.87,-64.36,180.0,top
D37,116.87,-67.193343,180.0,top
D38,117.13,-50.473339,0.0,top
D39,99.13,-47.640005,0.0,top
D4,87.5,-40.333355,270.0,top
D40,81.13,-41.973337,0.0,top
D41,63.13,-44.806671,0.0,top
D42,45.13,-56.140007,0.0,top
D43,27.13,-58.973341,0.0,top
D5,107.5,-49.500023,270.0,top
D6,125.5,-52.333357,270.0,top
D7,33.5,-74.333363,270.0,top
D8,51.5,-71.500029,270.0,top
D9,69.5,-60.166693,270.0,top
S1,27.0,-63.333359,0.0,top
S10,81.0,-63.333359,0.0,top
S11,99.0,-69.000027,0.0,top
S12,117.0,-71.833361,0.0,top
S13,27.0,-97.333367,0.0,top
S14,45.0,-94.500033,0.0,top
S15,63.0,-83.166697,0.0,top
S16,81.0,-80.333363,0.0,top
S17,99.0,-86.000031,0.0,top
S18,117.0,-88.833365,0.0,top
S19,112.414214,-108.282823,345.0,top
S2,45.0,-60.500025,0.0,top
S20,133.033779,-111.443038,60.0,top
S21,146.2255,-127.784084,315.0,top
S3,63.0,-49.166689,0.0,top
S4,81.0,-46.333355,0.0,top
S5,99.0,-52.000023,0.0,top
S6,117.0,-54.833357,0.0,top
S7,27.0,-80.333363,0.0,top
S8,45.0,-77.500029,0.0,top
S9,63.0,-66.166693,0.0,top
SW1,92.6625,-105.833369,270.0,top
SW2,81.0,-92.333355,0.0,top
U1,137.8875,-90.88001,270.0,top
U2,136.0,-71.16,0.0,top
