Designator,Mid X,Mid Y,Rotation,Layer
D1,45.0,-51.000012,270.0,top
D10,99.0,-51.033342,270.0,top
D11,117.0,-56.66668,270.0,top
D12,135.0,-59.500014,270.0,top
D13,45.0,-85.00002,270.0,top
D14,63.0,-82.166686,270.0,top
D15,81.0,-70.83335,270.0,top
D16,99.0,-68.000016,270.0,top
D17,117.0,-73.666684,270.0,top
D18,135.0,-76.500018,270.0,top
D19,45.0,-102.000024,270.0,top
D2,63.0,-48.166678,270.0,top
D20,63.0,-99.16669,270.0,top
D21,81.0,-87.833354,270.0,top
D22,99.0,-85.00002,270.0,top
D23,117.0,-90.666688,270.0,top
D24,135.0,-93.500022,270.0,top
D25,130.1111,-115.279822,255.0,top
D26,146.530442,-108.315,330.0,top
D27,148.92,-126.0,225.0,top
D28,111.0,-106.250025,270.0,top
D29,125.87,-37.859992,180.0,top
D3,81.0,-36.833342,270.0,top
D30,158.515686,-129.511599,315.0,top
D31,138.392346,-113.737792,60.0,top
D32,122.708235,-108.775444,345.0,top
D33,126.13,-89.14,0.0,top
D34,108.13,-86.306657,0.0,top
D35,90.13,-80.64,0.0,top
D36,72.13,-83.473323,0.0,top
D37,54.13,-94.806657,0.0,top
D38,36.13,-97.64,0.0,top
D39,35.87,-80.36,180.0,top
D4,99.0,-34.000008,270.0,top
D40,53.87,-77.526657,180.0,top
D41,71.87,-66.193323,180.0,top
D42,89.87,-63.36,180.0,top
D43,107.87,-69.026657,180.0,top
D44,125.87,-71.86,180.0,top
D45,126.13,-55.139996,0.0,top
D46,108.13,-52.306662,0.0,top
D47,90.13,-46.639994,0.0,top
D48,72.13,-49.473328,0.0,top
D49,54.13,-60.806664,0.0,top
D5,117.0,-39.666676,270.0,top
D50,36.13,-63.639998,0.0,top
D51,35.87,-46.359994,180.0,top
D52,53.87,-43.52666,180.0,top
D53,71.87,-32.193324,180.0,top
D54,89.87,-29.35999,180.0,top
D55,107.87,-35.026658,180.0,top
D6,135.0,-42.50001,270.0,top
D7,45.0,-68.000016,270.0,top
D8,63.0,-65.166682,270.0,top
D9,81.0,-53.833346,270.0,top
S1,36.0,-53.665512,0.0,top
S10,90.0,-53.665512,0.0,top
S11,108.0,-59.33218,0.0,top
S12,126.0,-62.165514,0.0,top
S13,36.0,-87.66552,0.0,top
S14,54.0,-84.832186,0.0,top
S15,72.0,-73.49885,0.0,top
S16,90.0,-70.665516,0.0,top
S17,108.0,-76.332184,0.0,top
S18,126.0,-79.165518,0.0,top
S19,36.0,-104.665524,0.0,top
S2,54.0,-50.832178,0.0,top
S20,54.0,-101.83219,0.0,top
S21,72.0,-90.498854,0.0,top
S22,90.0,-87.66552,0.0,top
S23,108.0,-93.332188,0.0,top
S24,126.0,-96.165522,0.0,top
S25,121.023439,-115.227708,345.0,top
S26,143.694727,-116.983688,60.0,top
S27,153.918273,-133.757967,315.0,top
S3,72.0,-39.498842,0.0,top
S4,90.0,-36.665508,0.0,top
S5,108.0,-42.332176,0.0,top
S6,126.0,-45.16551,0.0,top
S7,36.0,-70.665516,0.0,top
S8,54.0,-67.832182,0.0,top
S9,72.0,-56.498846,0.0,top
SW1,88.5,-97.750023,0.0,top
SW2,101.6625,-110.500026,270.0,top
U1,146.8875,-93.2,270.0,top
U2,145.0,-73.47999,0.0,top
